Subscribers, Delay (ms)
4 Subscribers, 242.00
4 Subscribers, 242.00
4 Subscribers, 242.00
4 Subscribers, 242.00
4 Subscribers, 248.00
4 Subscribers, 248.00
4 Subscribers, 248.00
4 Subscribers, 248.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 255.00
4 Subscribers, 255.00
4 Subscribers, 255.00
4 Subscribers, 255.00
4 Subscribers, 241.00
4 Subscribers, 241.00
4 Subscribers, 241.00
4 Subscribers, 241.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 261.00
4 Subscribers, 261.00
4 Subscribers, 261.00
4 Subscribers, 261.00
4 Subscribers, 299.00
4 Subscribers, 299.00
4 Subscribers, 299.00
4 Subscribers, 299.00
4 Subscribers, 271.00
4 Subscribers, 271.00
4 Subscribers, 271.00
4 Subscribers, 271.00
4 Subscribers, 244.00
4 Subscribers, 244.00
4 Subscribers, 244.00
4 Subscribers, 244.00
4 Subscribers, 240.00
4 Subscribers, 240.00
4 Subscribers, 240.00
4 Subscribers, 240.00
4 Subscribers, 238.00
4 Subscribers, 238.00
4 Subscribers, 238.00
4 Subscribers, 238.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 262.00
4 Subscribers, 262.00
4 Subscribers, 262.00
4 Subscribers, 262.00
4 Subscribers, 235.00
4 Subscribers, 235.00
4 Subscribers, 235.00
4 Subscribers, 235.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 245.00
4 Subscribers, 245.00
4 Subscribers, 245.00
4 Subscribers, 245.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 239.00
4 Subscribers, 241.00
4 Subscribers, 241.00
4 Subscribers, 241.00
4 Subscribers, 242.00
4 Subscribers, 254.00
4 Subscribers, 254.00
4 Subscribers, 254.00
4 Subscribers, 254.00
4 Subscribers, 260.00
4 Subscribers, 260.00
4 Subscribers, 260.00
4 Subscribers, 260.00
4 Subscribers, 230.00
4 Subscribers, 230.00
4 Subscribers, 230.00
4 Subscribers, 230.00
4 Subscribers, 242.00
4 Subscribers, 242.00
4 Subscribers, 242.00
4 Subscribers, 242.00
4 Subscribers, 272.00
4 Subscribers, 272.00
4 Subscribers, 273.00
4 Subscribers, 272.00
4 Subscribers, 267.00
4 Subscribers, 267.00
4 Subscribers, 267.00
4 Subscribers, 267.00
4 Subscribers, 266.00
4 Subscribers, 266.00
4 Subscribers, 266.00
4 Subscribers, 266.00
4 Subscribers, 232.00
4 Subscribers, 232.00
4 Subscribers, 232.00
4 Subscribers, 232.00
4 Subscribers, 241.00
4 Subscribers, 241.00
4 Subscribers, 241.00
4 Subscribers, 241.00
4 Subscribers, 278.00
4 Subscribers, 278.00
4 Subscribers, 278.00
4 Subscribers, 278.00
4 Subscribers, 271.00
4 Subscribers, 271.00
4 Subscribers, 271.00
4 Subscribers, 271.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 244.00
4 Subscribers, 244.00
4 Subscribers, 253.00
4 Subscribers, 253.00
4 Subscribers, 253.00
4 Subscribers, 253.00
4 Subscribers, 275.00
4 Subscribers, 275.00
4 Subscribers, 275.00
4 Subscribers, 275.00
4 Subscribers, 283.00
4 Subscribers, 283.00
4 Subscribers, 283.00
4 Subscribers, 283.00
4 Subscribers, 236.00
4 Subscribers, 236.00
4 Subscribers, 236.00
4 Subscribers, 236.00
4 Subscribers, 309.00
4 Subscribers, 309.00
4 Subscribers, 309.00
4 Subscribers, 309.00
4 Subscribers, 256.00
4 Subscribers, 256.00
4 Subscribers, 256.00
4 Subscribers, 256.00
4 Subscribers, 277.00
4 Subscribers, 277.00
4 Subscribers, 277.00
4 Subscribers, 277.00
4 Subscribers, 258.00
4 Subscribers, 258.00
4 Subscribers, 258.00
4 Subscribers, 258.00
4 Subscribers, 254.00
4 Subscribers, 255.00
4 Subscribers, 255.00
4 Subscribers, 255.00
4 Subscribers, 274.00
4 Subscribers, 274.00
4 Subscribers, 274.00
4 Subscribers, 274.00
4 Subscribers, 277.00
4 Subscribers, 277.00
4 Subscribers, 277.00
4 Subscribers, 277.00
4 Subscribers, 261.00
4 Subscribers, 261.00
4 Subscribers, 261.00
4 Subscribers, 261.00
4 Subscribers, 254.00
4 Subscribers, 254.00
4 Subscribers, 254.00
4 Subscribers, 254.00
4 Subscribers, 242.00
4 Subscribers, 243.00
4 Subscribers, 242.00
4 Subscribers, 242.00
4 Subscribers, 235.00
4 Subscribers, 235.00
4 Subscribers, 235.00
4 Subscribers, 236.00
4 Subscribers, 236.00
4 Subscribers, 235.00
4 Subscribers, 235.00
4 Subscribers, 236.00
4 Subscribers, 245.00
4 Subscribers, 245.00
4 Subscribers, 245.00
4 Subscribers, 245.00
4 Subscribers, 238.00
4 Subscribers, 238.00
4 Subscribers, 238.00
4 Subscribers, 238.00
4 Subscribers, 232.00
4 Subscribers, 232.00
4 Subscribers, 232.00
4 Subscribers, 232.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 243.00
4 Subscribers, 240.00
4 Subscribers, 240.00
4 Subscribers, 240.00
4 Subscribers, 240.00
4 Subscribers, 242.00
