Subscribers, Delay (ms)
4 Subscribers,78.42
4 Subscribers,79.93
4 Subscribers,81.84
4 Subscribers,75.41
4 Subscribers,80.48
4 Subscribers,87.84
4 Subscribers,95.72
4 Subscribers,74.55
4 Subscribers,82.21
4 Subscribers,93.47
4 Subscribers,93.80
4 Subscribers,78.24
4 Subscribers,82.55
4 Subscribers,88.93
4 Subscribers,95.57
4 Subscribers,71.83
4 Subscribers,77.46
4 Subscribers,79.64
4 Subscribers,81.73
4 Subscribers,73.00
4 Subscribers,77.12
4 Subscribers,80.80
4 Subscribers,92.71
4 Subscribers,71.37
4 Subscribers,83.37
4 Subscribers,85.06
4 Subscribers,86.08
4 Subscribers,79.12
4 Subscribers,85.91
4 Subscribers,91.95
4 Subscribers,92.86
4 Subscribers,68.65
4 Subscribers,72.49
4 Subscribers,75.17
4 Subscribers,79.10
4 Subscribers,81.77
4 Subscribers,86.77
4 Subscribers,87.82
4 Subscribers,89.55
4 Subscribers,74.76
4 Subscribers,76.54
4 Subscribers,82.80
4 Subscribers,89.32
4 Subscribers,73.38
4 Subscribers,77.91
4 Subscribers,78.61
4 Subscribers,82.95
4 Subscribers,70.23
4 Subscribers,72.37
4 Subscribers,77.82
4 Subscribers,79.30
4 Subscribers,75.48
4 Subscribers,76.95
4 Subscribers,82.47
4 Subscribers,87.33
4 Subscribers,71.49
4 Subscribers,73.23
4 Subscribers,73.90
4 Subscribers,74.55
4 Subscribers,73.45
4 Subscribers,78.34
4 Subscribers,78.63
4 Subscribers,85.99
4 Subscribers,72.56
4 Subscribers,81.60
4 Subscribers,83.48
4 Subscribers,84.97
4 Subscribers,73.87
4 Subscribers,80.73
4 Subscribers,84.85
4 Subscribers,85.34
4 Subscribers,81.81
4 Subscribers,84.73
4 Subscribers,85.34
4 Subscribers,89.83
4 Subscribers,81.32
4 Subscribers,81.76
4 Subscribers,82.35
4 Subscribers,85.41
4 Subscribers,86.75
4 Subscribers,93.39
4 Subscribers,101.33
4 Subscribers,103.05
4 Subscribers,78.13
4 Subscribers,79.13
4 Subscribers,79.64
4 Subscribers,84.78
4 Subscribers,76.78
4 Subscribers,81.41
4 Subscribers,81.98
4 Subscribers,83.89
4 Subscribers,70.17
4 Subscribers,79.55
4 Subscribers,80.74
4 Subscribers,83.07
4 Subscribers,74.96
4 Subscribers,78.36
4 Subscribers,80.21
4 Subscribers,81.61
4 Subscribers,73.18
4 Subscribers,80.93
4 Subscribers,81.79
4 Subscribers,88.42
4 Subscribers,71.73
4 Subscribers,76.11
4 Subscribers,90.23
4 Subscribers,100.49
4 Subscribers,78.03
4 Subscribers,86.17
4 Subscribers,87.29
4 Subscribers,88.13
4 Subscribers,90.41
4 Subscribers,97.77
4 Subscribers,99.35
4 Subscribers,100.79
4 Subscribers,74.52
4 Subscribers,79.11
4 Subscribers,80.11
4 Subscribers,86.44
4 Subscribers,73.46
4 Subscribers,77.36
4 Subscribers,79.60
4 Subscribers,81.04
4 Subscribers,70.53
4 Subscribers,76.97
4 Subscribers,82.85
4 Subscribers,86.85
4 Subscribers,81.21
4 Subscribers,87.18
4 Subscribers,90.44
4 Subscribers,92.19
4 Subscribers,73.11
4 Subscribers,80.35
4 Subscribers,81.55
4 Subscribers,89.32
4 Subscribers,75.03
4 Subscribers,80.10
4 Subscribers,83.74
4 Subscribers,92.12
4 Subscribers,73.27
4 Subscribers,84.35
4 Subscribers,86.11
4 Subscribers,100.52
4 Subscribers,73.10
4 Subscribers,82.29
4 Subscribers,83.01
4 Subscribers,84.43
4 Subscribers,80.66
4 Subscribers,82.02
4 Subscribers,85.81
4 Subscribers,95.01
4 Subscribers,74.98
4 Subscribers,75.83
4 Subscribers,77.13
4 Subscribers,84.24
4 Subscribers,77.56
4 Subscribers,79.01
4 Subscribers,83.01
4 Subscribers,84.17
4 Subscribers,72.59
4 Subscribers,81.56
4 Subscribers,82.13
4 Subscribers,85.56
4 Subscribers,74.16
4 Subscribers,79.44
4 Subscribers,82.18
4 Subscribers,89.95
4 Subscribers,84.86
4 Subscribers,90.29
4 Subscribers,90.96
4 Subscribers,99.87
4 Subscribers,85.97
4 Subscribers,87.08
4 Subscribers,91.53
4 Subscribers,101.79
4 Subscribers,71.73
4 Subscribers,75.41
4 Subscribers,75.50
4 Subscribers,84.28
4 Subscribers,73.14
4 Subscribers,79.99
4 Subscribers,97.11
4 Subscribers,108.40
4 Subscribers,76.66
4 Subscribers,82.63
4 Subscribers,89.41
4 Subscribers,96.67
4 Subscribers,72.60
4 Subscribers,73.81
4 Subscribers,85.37
4 Subscribers,85.64
4 Subscribers,84.18
4 Subscribers,86.57
4 Subscribers,91.57
4 Subscribers,94.07
4 Subscribers,78.72
4 Subscribers,88.80
4 Subscribers,89.65
4 Subscribers,91.22
4 Subscribers,75.99
4 Subscribers,76.01
4 Subscribers,80.82
4 Subscribers,82.00
4 Subscribers,71.93
4 Subscribers,72.27
4 Subscribers,76.72
4 Subscribers,78.83
4 Subscribers,79.50
4 Subscribers,90.58
4 Subscribers,94.14
4 Subscribers,95.00
4 Subscribers,74.63
4 Subscribers,80.10
4 Subscribers,85.97
4 Subscribers,88.12
4 Subscribers,79.12
4 Subscribers,81.60
4 Subscribers,83.23
4 Subscribers,86.32
4 Subscribers,73.95
4 Subscribers,79.71
4 Subscribers,81.45
4 Subscribers,81.54
4 Subscribers,75.20
4 Subscribers,76.18
4 Subscribers,80.05
4 Subscribers,80.70
4 Subscribers,77.16
4 Subscribers,80.91
4 Subscribers,81.23
4 Subscribers,81.77
4 Subscribers,70.06
4 Subscribers,78.13
4 Subscribers,79.91
4 Subscribers,84.48
4 Subscribers,76.43
4 Subscribers,79.75
4 Subscribers,81.80
4 Subscribers,85.79
4 Subscribers,69.74
4 Subscribers,79.37
4 Subscribers,79.83
4 Subscribers,80.51
4 Subscribers,72.14
4 Subscribers,74.72
4 Subscribers,86.89
4 Subscribers,90.33
4 Subscribers,78.50
4 Subscribers,78.92
4 Subscribers,79.35
4 Subscribers,91.83
4 Subscribers,75.56
4 Subscribers,77.15
4 Subscribers,84.80
4 Subscribers,91.59
4 Subscribers,70.40
4 Subscribers,70.49
4 Subscribers,72.72
4 Subscribers,78.46
4 Subscribers,79.21
4 Subscribers,79.32
4 Subscribers,79.48
4 Subscribers,80.61
4 Subscribers,70.95
4 Subscribers,73.75
4 Subscribers,83.95
4 Subscribers,91.83
4 Subscribers,73.79
4 Subscribers,77.63
4 Subscribers,87.76
4 Subscribers,88.86
4 Subscribers,70.84
4 Subscribers,74.20
4 Subscribers,74.62
4 Subscribers,75.34
4 Subscribers,75.97
4 Subscribers,82.38
4 Subscribers,83.64
4 Subscribers,84.78
4 Subscribers,73.59
4 Subscribers,75.01
4 Subscribers,79.25
4 Subscribers,91.58
4 Subscribers,99.85
4 Subscribers,99.82
4 Subscribers,103.36
4 Subscribers,105.65
4 Subscribers,75.98
4 Subscribers,76.06
4 Subscribers,81.41
4 Subscribers,81.81
4 Subscribers,70.12
4 Subscribers,80.17
4 Subscribers,91.58
4 Subscribers,92.61
4 Subscribers,75.69
4 Subscribers,82.02
4 Subscribers,83.26
4 Subscribers,98.59
4 Subscribers,71.46
4 Subscribers,73.73
4 Subscribers,74.08
4 Subscribers,81.68
4 Subscribers,83.52
4 Subscribers,91.49
4 Subscribers,101.72
4 Subscribers,102.23
4 Subscribers,76.74
4 Subscribers,77.78
4 Subscribers,78.91
4 Subscribers,81.73
4 Subscribers,77.33
4 Subscribers,79.54
4 Subscribers,80.22
4 Subscribers,80.41
4 Subscribers,79.18
4 Subscribers,80.05
4 Subscribers,83.31
4 Subscribers,85.81
4 Subscribers,79.10
4 Subscribers,83.28
4 Subscribers,86.13
4 Subscribers,95.31
4 Subscribers,69.54
4 Subscribers,77.11
4 Subscribers,86.97
4 Subscribers,95.58
4 Subscribers,70.02
4 Subscribers,71.66
4 Subscribers,72.97
4 Subscribers,80.84
4 Subscribers,62.26
4 Subscribers,63.72
4 Subscribers,69.06
4 Subscribers,78.02
6 Subscribers,81.83
6 Subscribers,83.54
6 Subscribers,87.52
6 Subscribers,88.26
6 Subscribers,102.00
6 Subscribers,102.08
6 Subscribers,88.39
6 Subscribers,93.26
6 Subscribers,94.74
6 Subscribers,100.16
6 Subscribers,100.71
6 Subscribers,109.45
6 Subscribers,84.84
6 Subscribers,89.15
6 Subscribers,90.91
6 Subscribers,94.25
6 Subscribers,100.07
6 Subscribers,104.58
6 Subscribers,87.07
6 Subscribers,92.69
6 Subscribers,92.89
6 Subscribers,97.28
6 Subscribers,104.37
6 Subscribers,105.58
6 Subscribers,86.83
6 Subscribers,93.44
6 Subscribers,94.08
6 Subscribers,104.20
6 Subscribers,107.86
6 Subscribers,108.02
6 Subscribers,74.08
6 Subscribers,77.32
6 Subscribers,101.52
6 Subscribers,101.54
6 Subscribers,104.82
6 Subscribers,109.37
6 Subscribers,86.02
6 Subscribers,86.47
6 Subscribers,102.18
6 Subscribers,105.84
6 Subscribers,106.42
6 Subscribers,107.89
6 Subscribers,88.94
6 Subscribers,92.83
6 Subscribers,95.36
6 Subscribers,101.95
6 Subscribers,103.22
6 Subscribers,103.73
6 Subscribers,85.12
6 Subscribers,90.11
6 Subscribers,92.93
6 Subscribers,96.14
6 Subscribers,96.82
6 Subscribers,102.53
6 Subscribers,84.64
6 Subscribers,89.28
6 Subscribers,89.34
6 Subscribers,90.74
6 Subscribers,106.10
6 Subscribers,107.54
6 Subscribers,79.89
6 Subscribers,85.19
6 Subscribers,93.56
6 Subscribers,94.85
6 Subscribers,99.41
6 Subscribers,101.51
6 Subscribers,71.69
6 Subscribers,82.24
6 Subscribers,85.94
6 Subscribers,93.04
6 Subscribers,97.27
6 Subscribers,103.07
6 Subscribers,87.72
6 Subscribers,91.48
6 Subscribers,98.37
6 Subscribers,99.13
6 Subscribers,105.11
6 Subscribers,105.11
6 Subscribers,82.31
6 Subscribers,95.57
6 Subscribers,98.37
6 Subscribers,99.05
6 Subscribers,100.49
6 Subscribers,104.74
6 Subscribers,87.60
6 Subscribers,89.37
6 Subscribers,91.27
6 Subscribers,96.10
6 Subscribers,99.40
6 Subscribers,100.25
6 Subscribers,89.56
6 Subscribers,93.74
6 Subscribers,95.62
6 Subscribers,97.86
6 Subscribers,99.33
6 Subscribers,100.70
6 Subscribers,84.43
6 Subscribers,85.58
6 Subscribers,93.41
6 Subscribers,94.70
6 Subscribers,112.91
6 Subscribers,113.10
6 Subscribers,72.45
6 Subscribers,92.02
6 Subscribers,94.37
6 Subscribers,96.04
6 Subscribers,98.29
6 Subscribers,101.26
6 Subscribers,86.32
6 Subscribers,91.59
6 Subscribers,93.60
6 Subscribers,94.43
6 Subscribers,98.66
6 Subscribers,102.47
6 Subscribers,84.26
6 Subscribers,93.07
6 Subscribers,94.59
6 Subscribers,94.73
6 Subscribers,96.65
6 Subscribers,100.30
6 Subscribers,86.11
6 Subscribers,87.07
6 Subscribers,92.10
6 Subscribers,96.45
6 Subscribers,97.47
6 Subscribers,100.37
6 Subscribers,81.92
6 Subscribers,86.65
6 Subscribers,86.69
6 Subscribers,91.86
6 Subscribers,94.28
6 Subscribers,105.57
6 Subscribers,94.25
6 Subscribers,99.08
6 Subscribers,101.54
6 Subscribers,103.72
6 Subscribers,105.55
6 Subscribers,110.03
6 Subscribers,92.21
6 Subscribers,96.06
6 Subscribers,108.44
6 Subscribers,132.37
6 Subscribers,133.32
6 Subscribers,139.78
6 Subscribers,93.54
6 Subscribers,96.01
6 Subscribers,101.38
6 Subscribers,102.70
6 Subscribers,104.01
6 Subscribers,107.17
6 Subscribers,85.65
6 Subscribers,90.82
6 Subscribers,96.69
6 Subscribers,101.28
6 Subscribers,102.59
6 Subscribers,105.94
6 Subscribers,87.99
6 Subscribers,93.73
6 Subscribers,95.00
6 Subscribers,96.17
6 Subscribers,101.58
6 Subscribers,103.36
6 Subscribers,88.44
6 Subscribers,89.66
6 Subscribers,90.24
6 Subscribers,96.42
6 Subscribers,99.58
6 Subscribers,101.15
6 Subscribers,82.05
6 Subscribers,83.08
6 Subscribers,91.61
6 Subscribers,94.93
6 Subscribers,94.99
6 Subscribers,95.17
6 Subscribers,84.02
6 Subscribers,84.68
6 Subscribers,89.96
6 Subscribers,93.52
6 Subscribers,98.53
6 Subscribers,102.10
6 Subscribers,88.12
6 Subscribers,90.21
6 Subscribers,96.21
6 Subscribers,96.25
6 Subscribers,101.52
6 Subscribers,105.91
6 Subscribers,81.75
6 Subscribers,87.79
6 Subscribers,97.80
6 Subscribers,100.96
6 Subscribers,106.85
6 Subscribers,107.41
6 Subscribers,77.59
6 Subscribers,89.22
6 Subscribers,91.66
6 Subscribers,94.27
6 Subscribers,98.64
6 Subscribers,102.12
6 Subscribers,84.05
6 Subscribers,88.99
6 Subscribers,90.73
6 Subscribers,100.09
6 Subscribers,101.08
6 Subscribers,103.77
6 Subscribers,81.44
6 Subscribers,89.67
6 Subscribers,96.05
6 Subscribers,96.79
6 Subscribers,98.24
6 Subscribers,103.45
6 Subscribers,88.19
6 Subscribers,90.73
6 Subscribers,92.05
6 Subscribers,95.82
6 Subscribers,98.25
6 Subscribers,100.95
6 Subscribers,70.85
6 Subscribers,73.87
6 Subscribers,80.89
6 Subscribers,90.25
6 Subscribers,96.12
6 Subscribers,103.82
6 Subscribers,83.79
6 Subscribers,88.67
6 Subscribers,90.74
6 Subscribers,93.92
6 Subscribers,94.94
6 Subscribers,96.96
6 Subscribers,71.25
6 Subscribers,71.52
6 Subscribers,71.81
6 Subscribers,71.89
6 Subscribers,93.77
6 Subscribers,96.85
6 Subscribers,81.09
6 Subscribers,89.32
6 Subscribers,94.47
6 Subscribers,95.51
6 Subscribers,97.34
6 Subscribers,98.03
6 Subscribers,88.85
6 Subscribers,94.39
6 Subscribers,100.07
6 Subscribers,100.32
6 Subscribers,101.32
6 Subscribers,101.50
6 Subscribers,82.15
6 Subscribers,87.87
6 Subscribers,90.16
6 Subscribers,103.43
6 Subscribers,104.41
6 Subscribers,106.01
6 Subscribers,82.05
6 Subscribers,90.87
6 Subscribers,95.72
6 Subscribers,105.55
6 Subscribers,111.91
6 Subscribers,115.08
6 Subscribers,84.08
6 Subscribers,91.85
6 Subscribers,93.61
6 Subscribers,96.98
6 Subscribers,101.06
6 Subscribers,104.66
6 Subscribers,86.40
6 Subscribers,90.69
6 Subscribers,94.52
6 Subscribers,98.94
6 Subscribers,99.98
6 Subscribers,105.43
6 Subscribers,81.04
6 Subscribers,84.07
6 Subscribers,94.76
6 Subscribers,97.18
6 Subscribers,98.78
6 Subscribers,101.07
6 Subscribers,85.36
6 Subscribers,93.09
6 Subscribers,95.43
6 Subscribers,103.02
6 Subscribers,107.32
6 Subscribers,109.68
6 Subscribers,82.35
6 Subscribers,96.43
6 Subscribers,98.76
6 Subscribers,99.95
6 Subscribers,100.49
6 Subscribers,101.77
6 Subscribers,71.21
6 Subscribers,73.48
6 Subscribers,90.73
6 Subscribers,93.29
6 Subscribers,98.15
6 Subscribers,106.06
6 Subscribers,92.90
6 Subscribers,99.70
6 Subscribers,101.12
6 Subscribers,101.49
6 Subscribers,103.84
6 Subscribers,116.22
6 Subscribers,83.15
6 Subscribers,84.83
6 Subscribers,101.41
6 Subscribers,102.35
6 Subscribers,103.46
6 Subscribers,106.50
6 Subscribers,85.87
6 Subscribers,87.83
6 Subscribers,88.08
6 Subscribers,92.34
6 Subscribers,99.45
6 Subscribers,103.59
6 Subscribers,74.67
6 Subscribers,102.34
6 Subscribers,103.15
6 Subscribers,103.33
6 Subscribers,107.23
6 Subscribers,107.23
6 Subscribers,70.94
6 Subscribers,74.31
6 Subscribers,77.09
6 Subscribers,84.51
6 Subscribers,97.48
6 Subscribers,101.21
6 Subscribers,86.54
6 Subscribers,92.16
6 Subscribers,97.44
6 Subscribers,97.57
6 Subscribers,101.79
6 Subscribers,102.00
6 Subscribers,72.86
6 Subscribers,73.61
6 Subscribers,73.91
6 Subscribers,75.17
6 Subscribers,101.36
6 Subscribers,103.88
6 Subscribers,95.75
6 Subscribers,99.31
6 Subscribers,101.00
6 Subscribers,106.20
6 Subscribers,111.33
6 Subscribers,113.55
6 Subscribers,87.66
6 Subscribers,88.98
6 Subscribers,91.52
6 Subscribers,93.21
6 Subscribers,99.27
6 Subscribers,100.77
6 Subscribers,82.02
6 Subscribers,88.63
6 Subscribers,89.63
6 Subscribers,90.36
6 Subscribers,90.92
6 Subscribers,102.08
6 Subscribers,89.42
6 Subscribers,93.22
6 Subscribers,93.96
6 Subscribers,94.87
6 Subscribers,98.98
6 Subscribers,103.83
6 Subscribers,82.85
6 Subscribers,86.86
6 Subscribers,91.86
6 Subscribers,91.85
6 Subscribers,98.20
6 Subscribers,100.80
6 Subscribers,76.29
6 Subscribers,88.66
6 Subscribers,90.66
6 Subscribers,95.19
6 Subscribers,114.30
6 Subscribers,114.58
6 Subscribers,83.91
6 Subscribers,95.24
6 Subscribers,96.59
6 Subscribers,99.26
6 Subscribers,100.36
6 Subscribers,103.93
6 Subscribers,79.88
6 Subscribers,81.90
6 Subscribers,91.95
6 Subscribers,93.11
6 Subscribers,94.24
6 Subscribers,97.78
6 Subscribers,78.33
6 Subscribers,83.47
6 Subscribers,95.15
6 Subscribers,95.77
6 Subscribers,96.00
6 Subscribers,96.71
6 Subscribers,86.19
6 Subscribers,87.60
6 Subscribers,88.25
6 Subscribers,93.36
6 Subscribers,96.84
6 Subscribers,103.14
6 Subscribers,86.97
6 Subscribers,90.96
6 Subscribers,91.35
6 Subscribers,92.35
6 Subscribers,93.69
6 Subscribers,97.33
6 Subscribers,71.77
6 Subscribers,71.80
6 Subscribers,76.15
6 Subscribers,78.33
6 Subscribers,85.89
6 Subscribers,97.10
6 Subscribers,77.54
6 Subscribers,87.84
6 Subscribers,88.85
6 Subscribers,91.56
6 Subscribers,92.70
6 Subscribers,96.22
6 Subscribers,89.59
6 Subscribers,93.61
6 Subscribers,94.84
6 Subscribers,98.41
6 Subscribers,101.99
6 Subscribers,103.88
6 Subscribers,71.87
6 Subscribers,74.44
6 Subscribers,84.27
6 Subscribers,94.29
6 Subscribers,98.69
6 Subscribers,104.18
6 Subscribers,91.37
6 Subscribers,92.60
6 Subscribers,95.48
6 Subscribers,95.95
6 Subscribers,96.21
6 Subscribers,98.36
6 Subscribers,83.81
6 Subscribers,87.66
6 Subscribers,105.87
6 Subscribers,109.23
6 Subscribers,122.37
6 Subscribers,129.28
6 Subscribers,94.44
6 Subscribers,94.47
6 Subscribers,95.97
6 Subscribers,102.85
6 Subscribers,104.72
6 Subscribers,112.81
6 Subscribers,92.48
6 Subscribers,99.26
6 Subscribers,102.14
6 Subscribers,108.58
6 Subscribers,109.39
6 Subscribers,111.20
6 Subscribers,100.33
6 Subscribers,103.88
6 Subscribers,104.58
6 Subscribers,108.67
6 Subscribers,112.93
6 Subscribers,118.41
6 Subscribers,86.50
6 Subscribers,87.86
6 Subscribers,91.64
