PID, Clients, Delay (ms)
71898,32 Pubs and Subs ,439.81
71913,32 Pubs and Subs ,128.89
71913,32 Pubs and Subs ,128.94
71907,32 Pubs and Subs ,100.46
71896,32 Pubs and Subs ,153.99
71891,32 Pubs and Subs ,244.70
71888,32 Pubs and Subs ,152.66
71896,32 Pubs and Subs ,154.61
71891,32 Pubs and Subs ,244.97
71895,32 Pubs and Subs ,69.33
71896,32 Pubs and Subs ,155.00
71888,32 Pubs and Subs ,153.21
71895,32 Pubs and Subs ,69.62
71896,32 Pubs and Subs ,155.24
71892,32 Pubs and Subs ,151.48
71888,32 Pubs and Subs ,153.55
71896,32 Pubs and Subs ,155.52
71888,32 Pubs and Subs ,153.63
71913,32 Pubs and Subs ,131.55
71907,32 Pubs and Subs ,102.24
71888,32 Pubs and Subs ,153.91
71892,32 Pubs and Subs ,151.95
71892,32 Pubs and Subs ,152.21
71907,32 Pubs and Subs ,102.66
71891,32 Pubs and Subs ,246.54
71895,32 Pubs and Subs ,70.91
71891,32 Pubs and Subs ,246.86
71896,32 Pubs and Subs ,156.81
71895,32 Pubs and Subs ,71.47
71888,32 Pubs and Subs ,155.24
71892,32 Pubs and Subs ,153.55
71896,32 Pubs and Subs ,157.49
71896,32 Pubs and Subs ,157.71
71913,32 Pubs and Subs ,134.70
71888,32 Pubs and Subs ,157.28
71907,32 Pubs and Subs ,105.91
71892,32 Pubs and Subs ,155.59
71913,32 Pubs and Subs ,133.90
71891,32 Pubs and Subs ,250.02
71895,32 Pubs and Subs ,74.33
71907,32 Pubs and Subs ,106.64
71896,32 Pubs and Subs ,160.19
71891,32 Pubs and Subs ,250.77
71888,32 Pubs and Subs ,158.56
71895,32 Pubs and Subs ,75.08
71892,32 Pubs and Subs ,156.85
71896,32 Pubs and Subs ,160.94
71913,32 Pubs and Subs ,136.88
71888,32 Pubs and Subs ,159.32
71907,32 Pubs and Subs ,108.05
71892,32 Pubs and Subs ,157.64
71888,32 Pubs and Subs ,156.12
71896,32 Pubs and Subs ,158.26
71891,32 Pubs and Subs ,252.19
71913,32 Pubs and Subs ,134.45
71913,32 Pubs and Subs ,138.10
71913,32 Pubs and Subs ,138.16
71907,32 Pubs and Subs ,108.85
71913,32 Pubs and Subs ,138.20
71907,32 Pubs and Subs ,105.09
71913,32 Pubs and Subs ,138.61
71907,32 Pubs and Subs ,109.57
71891,32 Pubs and Subs ,253.40
71907,32 Pubs and Subs ,109.58
71907,32 Pubs and Subs ,109.74
71891,32 Pubs and Subs ,253.76
71891,32 Pubs and Subs ,253.86
71891,32 Pubs and Subs ,254.00
71895,32 Pubs and Subs ,78.12
71895,32 Pubs and Subs ,78.18
71896,32 Pubs and Subs ,164.04
71896,32 Pubs and Subs ,164.03
71895,32 Pubs and Subs ,78.54
71888,32 Pubs and Subs ,162.49
71896,32 Pubs and Subs ,164.43
71895,32 Pubs and Subs ,78.97
71895,32 Pubs and Subs ,79.20
71892,32 Pubs and Subs ,161.23
71896,32 Pubs and Subs ,165.26
71888,32 Pubs and Subs ,163.65
71892,32 Pubs and Subs ,161.91
71895,32 Pubs and Subs ,80.50
71896,32 Pubs and Subs ,166.74
71888,32 Pubs and Subs ,165.16
71907,32 Pubs and Subs ,113.86
71891,32 Pubs and Subs ,258.20
71895,32 Pubs and Subs ,82.54
71896,32 Pubs and Subs ,168.42
71888,32 Pubs and Subs ,166.87
71892,32 Pubs and Subs ,165.18
71888,32 Pubs and Subs ,167.44
71892,32 Pubs and Subs ,166.00
71888,32 Pubs and Subs ,168.26
71892,32 Pubs and Subs ,166.82
71907,32 Pubs and Subs ,117.53
71913,32 Pubs and Subs ,146.91
71891,32 Pubs and Subs ,261.90
71907,32 Pubs and Subs ,118.19
71895,32 Pubs and Subs ,86.23
71891,32 Pubs and Subs ,262.29
71896,32 Pubs and Subs ,172.10
71895,32 Pubs and Subs ,86.60
71888,32 Pubs and Subs ,170.49
71892,32 Pubs and Subs ,168.78
71907,32 Pubs and Subs ,119.35
71891,32 Pubs and Subs ,263.78
71895,32 Pubs and Subs ,88.12
71896,32 Pubs and Subs ,174.01
71888,32 Pubs and Subs ,172.42
71892,32 Pubs and Subs ,170.79
71896,32 Pubs and Subs ,172.49
71888,32 Pubs and Subs ,173.63
71892,32 Pubs and Subs ,171.99
71892,32 Pubs and Subs ,172.22
71888,32 Pubs and Subs ,174.26
71907,32 Pubs and Subs ,122.77
71892,32 Pubs and Subs ,172.44
71891,32 Pubs and Subs ,267.21
71892,32 Pubs and Subs ,172.91
71895,32 Pubs and Subs ,91.55
71891,32 Pubs and Subs ,267.46
71896,32 Pubs and Subs ,177.40
71895,32 Pubs and Subs ,92.05
71888,32 Pubs and Subs ,175.77
71896,32 Pubs and Subs ,177.91
71892,32 Pubs and Subs ,174.05
71888,32 Pubs and Subs ,176.29
71892,32 Pubs and Subs ,174.59
71907,32 Pubs and Subs ,125.35
71895,32 Pubs and Subs ,93.25
71891,32 Pubs and Subs ,269.85
71891,32 Pubs and Subs ,269.94
71888,32 Pubs and Subs ,177.68
71895,32 Pubs and Subs ,94.19
71896,32 Pubs and Subs ,180.07
71895,32 Pubs and Subs ,94.51
71892,32 Pubs and Subs ,176.25
71888,32 Pubs and Subs ,178.45
71896,32 Pubs and Subs ,180.39
71896,32 Pubs and Subs ,180.44
71892,32 Pubs and Subs ,176.73
71888,32 Pubs and Subs ,178.77
71892,32 Pubs and Subs ,176.79
71892,32 Pubs and Subs ,177.06
71896,32 Pubs and Subs ,181.22
71888,32 Pubs and Subs ,179.56
71888,32 Pubs and Subs ,179.77
71888,32 Pubs and Subs ,179.90
71892,32 Pubs and Subs ,178.07
71892,32 Pubs and Subs ,178.44
71892,32 Pubs and Subs ,179.29
71892,32 Pubs and Subs ,179.55
71893,32 Pubs and Subs ,177.61
71893,32 Pubs and Subs ,177.72
71892,32 Pubs and Subs ,180.46
71893,32 Pubs and Subs ,178.62
71893,32 Pubs and Subs ,178.71
71893,32 Pubs and Subs ,179.37
71893,32 Pubs and Subs ,179.40
71893,32 Pubs and Subs ,179.47
71893,32 Pubs and Subs ,179.56
71893,32 Pubs and Subs ,179.84
71893,32 Pubs and Subs ,179.94
71893,32 Pubs and Subs ,179.96
71893,32 Pubs and Subs ,180.17
71893,32 Pubs and Subs ,180.57
71893,32 Pubs and Subs ,180.57
71893,32 Pubs and Subs ,180.67
71893,32 Pubs and Subs ,180.79
71893,32 Pubs and Subs ,181.12
71893,32 Pubs and Subs ,181.13
71893,32 Pubs and Subs ,181.42
71893,32 Pubs and Subs ,181.51
71893,32 Pubs and Subs ,181.62
71893,32 Pubs and Subs ,181.63
71893,32 Pubs and Subs ,182.09
71893,32 Pubs and Subs ,182.34
71893,32 Pubs and Subs ,182.37
71893,32 Pubs and Subs ,182.48
71893,32 Pubs and Subs ,182.60
71893,32 Pubs and Subs ,183.04
71893,32 Pubs and Subs ,183.15
71893,32 Pubs and Subs ,183.24
71893,32 Pubs and Subs ,183.57
71912,32 Pubs and Subs ,181.85
71893,32 Pubs and Subs ,184.17
71912,32 Pubs and Subs ,182.05
71912,32 Pubs and Subs ,182.90
71912,32 Pubs and Subs ,183.56
71912,32 Pubs and Subs ,183.69
71912,32 Pubs and Subs ,184.18
71912,32 Pubs and Subs ,184.46
71912,32 Pubs and Subs ,184.53
71912,32 Pubs and Subs ,184.60
71912,32 Pubs and Subs ,184.89
71912,32 Pubs and Subs ,184.98
71912,32 Pubs and Subs ,185.11
71912,32 Pubs and Subs ,185.15
71912,32 Pubs and Subs ,185.40
71912,32 Pubs and Subs ,185.47
71912,32 Pubs and Subs ,185.67
71912,32 Pubs and Subs ,185.81
71912,32 Pubs and Subs ,185.98
71912,32 Pubs and Subs ,186.61
71912,32 Pubs and Subs ,186.76
71912,32 Pubs and Subs ,186.76
71912,32 Pubs and Subs ,186.86
71912,32 Pubs and Subs ,187.16
71912,32 Pubs and Subs ,187.86
71912,32 Pubs and Subs ,187.98
71912,32 Pubs and Subs ,188.11
71912,32 Pubs and Subs ,188.11
71912,32 Pubs and Subs ,188.44
71912,32 Pubs and Subs ,188.74
71912,32 Pubs and Subs ,189.18
71912,32 Pubs and Subs ,189.38
71912,32 Pubs and Subs ,190.24
71902,32 Pubs and Subs ,186.39
71902,32 Pubs and Subs ,186.43
71902,32 Pubs and Subs ,186.94
71902,32 Pubs and Subs ,187.39
71902,32 Pubs and Subs ,187.60
71902,32 Pubs and Subs ,188.20
71902,32 Pubs and Subs ,188.30
71902,32 Pubs and Subs ,188.40
71902,32 Pubs and Subs ,188.44
71902,32 Pubs and Subs ,188.75
71902,32 Pubs and Subs ,188.87
71902,32 Pubs and Subs ,189.04
71902,32 Pubs and Subs ,189.11
71902,32 Pubs and Subs ,189.31
71902,32 Pubs and Subs ,189.39
71902,32 Pubs and Subs ,189.57
71902,32 Pubs and Subs ,189.93
71902,32 Pubs and Subs ,190.02
71902,32 Pubs and Subs ,190.56
71902,32 Pubs and Subs ,190.95
71902,32 Pubs and Subs ,190.98
71902,32 Pubs and Subs ,191.03
71902,32 Pubs and Subs ,191.13
71902,32 Pubs and Subs ,191.83
71902,32 Pubs and Subs ,191.92
71902,32 Pubs and Subs ,191.93
71902,32 Pubs and Subs ,191.97
71902,32 Pubs and Subs ,192.39
71902,32 Pubs and Subs ,192.54
71902,32 Pubs and Subs ,192.75
71902,32 Pubs and Subs ,193.13
71886,32 Pubs and Subs ,189.62
71902,32 Pubs and Subs ,193.71
71886,32 Pubs and Subs ,189.81
71886,32 Pubs and Subs ,190.89
71886,32 Pubs and Subs ,191.15
71886,32 Pubs and Subs ,191.81
71886,32 Pubs and Subs ,191.92
71886,32 Pubs and Subs ,192.01
71886,32 Pubs and Subs ,192.07
71886,32 Pubs and Subs ,192.28
71886,32 Pubs and Subs ,192.39
71886,32 Pubs and Subs ,192.50
71886,32 Pubs and Subs ,192.69
71886,32 Pubs and Subs ,192.91
71886,32 Pubs and Subs ,192.98
71886,32 Pubs and Subs ,193.09
71886,32 Pubs and Subs ,190.33
71886,32 Pubs and Subs ,193.19
71886,32 Pubs and Subs ,193.44
71886,32 Pubs and Subs ,193.87
71886,32 Pubs and Subs ,193.99
71886,32 Pubs and Subs ,194.10
71886,32 Pubs and Subs ,194.17
71886,32 Pubs and Subs ,194.55
71886,32 Pubs and Subs ,195.08
71886,32 Pubs and Subs ,195.15
71886,32 Pubs and Subs ,195.23
71886,32 Pubs and Subs ,195.27
71886,32 Pubs and Subs ,195.72
71886,32 Pubs and Subs ,195.82
71886,32 Pubs and Subs ,196.03
71886,32 Pubs and Subs ,196.34
71886,32 Pubs and Subs ,196.97
71894,32 Pubs and Subs ,193.02
71894,32 Pubs and Subs ,193.07
71894,32 Pubs and Subs ,193.55
71894,32 Pubs and Subs ,193.84
71894,32 Pubs and Subs ,194.16
71894,32 Pubs and Subs ,194.59
71894,32 Pubs and Subs ,194.69
71894,32 Pubs and Subs ,194.76
71894,32 Pubs and Subs ,194.84
71894,32 Pubs and Subs ,195.10
71894,32 Pubs and Subs ,195.30
71894,32 Pubs and Subs ,195.40
71894,32 Pubs and Subs ,195.43
71894,32 Pubs and Subs ,195.60
71894,32 Pubs and Subs ,195.89
71894,32 Pubs and Subs ,195.95
71894,32 Pubs and Subs ,196.13
71894,32 Pubs and Subs ,196.20
71894,32 Pubs and Subs ,196.67
71894,32 Pubs and Subs ,196.93
71894,32 Pubs and Subs ,196.98
71894,32 Pubs and Subs ,197.03
71894,32 Pubs and Subs ,197.20
71894,32 Pubs and Subs ,197.88
71894,32 Pubs and Subs ,198.04
71894,32 Pubs and Subs ,198.37
71894,32 Pubs and Subs ,198.44
71894,32 Pubs and Subs ,198.83
71894,32 Pubs and Subs ,199.00
71894,32 Pubs and Subs ,199.15
71894,32 Pubs and Subs ,199.55
71894,32 Pubs and Subs ,200.07
71909,32 Pubs and Subs ,180.82
71909,32 Pubs and Subs ,181.81
71909,32 Pubs and Subs ,181.87
71909,32 Pubs and Subs ,182.68
71909,32 Pubs and Subs ,182.75
71909,32 Pubs and Subs ,183.30
71909,32 Pubs and Subs ,183.58
71909,32 Pubs and Subs ,183.74
