Subscribers,Delay (ms)
4 Subscribers,472.88
4 Subscribers,473.01
4 Subscribers,474.06
4 Subscribers,474.27
4 Subscribers,475.29
4 Subscribers,475.66
4 Subscribers,476.12
4 Subscribers,478.65
4 Subscribers,480.25
4 Subscribers,480.38
4 Subscribers,480.75
4 Subscribers,480.79
4 Subscribers,482.6
4 Subscribers,483.14
4 Subscribers,483.42
4 Subscribers,484.45
4 Subscribers,485.16
4 Subscribers,485.5
4 Subscribers,485.55
4 Subscribers,487.87
4 Subscribers,487.92
4 Subscribers,488.39
4 Subscribers,488.79
4 Subscribers,489.09
4 Subscribers,489.09
4 Subscribers,489.11
4 Subscribers,489.33
4 Subscribers,489.42
4 Subscribers,490.27
4 Subscribers,490.29
4 Subscribers,490.43
4 Subscribers,491.02
4 Subscribers,492.43
4 Subscribers,492.75
4 Subscribers,493.1
4 Subscribers,494.17
4 Subscribers,494.98
4 Subscribers,496.07
4 Subscribers,497.4
4 Subscribers,497.73
4 Subscribers,497.86
4 Subscribers,500.31
4 Subscribers,500.57
4 Subscribers,500.58
4 Subscribers,500.69
4 Subscribers,500.79
4 Subscribers,501.26
4 Subscribers,502.72
4 Subscribers,502.89
4 Subscribers,503.82
4 Subscribers,505.9
4 Subscribers,506.28
4 Subscribers,506.4
4 Subscribers,506.51
4 Subscribers,507.56
4 Subscribers,507.58
4 Subscribers,507.88
4 Subscribers,507.89
4 Subscribers,508.58
4 Subscribers,508.69
4 Subscribers,509.35
4 Subscribers,510.38
4 Subscribers,510.78
4 Subscribers,510.78
4 Subscribers,511.3
4 Subscribers,511.83
4 Subscribers,512.07
4 Subscribers,512.43
4 Subscribers,512.44
4 Subscribers,513.03
4 Subscribers,513.08
4 Subscribers,513.11
4 Subscribers,514.11
4 Subscribers,514.2
4 Subscribers,514.93
4 Subscribers,515.52
4 Subscribers,515.72
4 Subscribers,515.76
4 Subscribers,515.89
4 Subscribers,515.89
4 Subscribers,516.26
4 Subscribers,517.11
4 Subscribers,517.19
4 Subscribers,518.39
4 Subscribers,518.51
4 Subscribers,518.74
4 Subscribers,518.76
4 Subscribers,519.31
4 Subscribers,519.44
4 Subscribers,520.04
4 Subscribers,520.22
4 Subscribers,521.61
4 Subscribers,522.52
4 Subscribers,522.72
4 Subscribers,523.16
4 Subscribers,523.5
4 Subscribers,523.96
4 Subscribers,524.25
4 Subscribers,525.51
4 Subscribers,526.07
4 Subscribers,526.09
4 Subscribers,526.13
4 Subscribers,526.52
4 Subscribers,526.84
4 Subscribers,527.02
4 Subscribers,527.1
4 Subscribers,527.28
4 Subscribers,527.35
4 Subscribers,527.76
4 Subscribers,528.09
4 Subscribers,528.17
4 Subscribers,528.25
4 Subscribers,528.55
4 Subscribers,528.7
4 Subscribers,528.82
4 Subscribers,528.84
4 Subscribers,529.04
4 Subscribers,529.51
4 Subscribers,529.56
4 Subscribers,530.96
4 Subscribers,531.67
4 Subscribers,531.74
4 Subscribers,531.98
4 Subscribers,532.7
4 Subscribers,533.22
4 Subscribers,533.26
4 Subscribers,534.05
4 Subscribers,534.37
4 Subscribers,534.48
4 Subscribers,535
4 Subscribers,535.24
4 Subscribers,536.81
4 Subscribers,537.23
4 Subscribers,538.13
4 Subscribers,538.67
4 Subscribers,539.26
4 Subscribers,540.43
4 Subscribers,540.75
4 Subscribers,541.24
4 Subscribers,541.7
4 Subscribers,542.44
4 Subscribers,542.44
4 Subscribers,542.48
4 Subscribers,542.62
4 Subscribers,542.81
4 Subscribers,542.94
4 Subscribers,543.12
4 Subscribers,543.33
4 Subscribers,543.42
4 Subscribers,544.05
4 Subscribers,544.72
4 Subscribers,544.93
4 Subscribers,544.94
4 Subscribers,546.36
4 Subscribers,546.54
4 Subscribers,547.32
4 Subscribers,547.38
4 Subscribers,547.58
4 Subscribers,547.81
4 Subscribers,548.33
4 Subscribers,548.48
4 Subscribers,548.59
4 Subscribers,549.35
4 Subscribers,549.38
4 Subscribers,549.39
4 Subscribers,550.35
4 Subscribers,551.4
4 Subscribers,551.46
4 Subscribers,551.58
4 Subscribers,552.27
4 Subscribers,552.43
4 Subscribers,553.19
4 Subscribers,554.12
4 Subscribers,554.22
4 Subscribers,554.27
4 Subscribers,554.75
4 Subscribers,556.35
4 Subscribers,556.7
4 Subscribers,557.45
4 Subscribers,557.45
4 Subscribers,558.68
4 Subscribers,560.12
4 Subscribers,561.13
4 Subscribers,562.23
4 Subscribers,564.83
4 Subscribers,565.47
4 Subscribers,565.52
4 Subscribers,566.09
4 Subscribers,566.23
4 Subscribers,567.99
4 Subscribers,568.95
4 Subscribers,570.21
4 Subscribers,573.25
4 Subscribers,573.92
4 Subscribers,575.05
4 Subscribers,576.75
4 Subscribers,577.08
4 Subscribers,577.66
4 Subscribers,583.12
4 Subscribers,584.28
4 Subscribers,584.46
4 Subscribers,584.7
4 Subscribers,585.31
4 Subscribers,586.55
4 Subscribers,586.68
4 Subscribers,589.38
4 Subscribers,589.76
4 Subscribers,593.07
4 Subscribers,594
4 Subscribers,594.25
4 Subscribers,594.62
4 Subscribers,595.5
4 Subscribers,595.54
4 Subscribers,595.85
4 Subscribers,596
4 Subscribers,596.18
