Subscribers, Delay

Delay in ms: 31.00
2 Subscribers, 31.00

Delay in ms: 17.00
2 Subscribers, 17.00

Delay in ms: 25.00
2 Subscribers, 25.00

Delay in ms: 20.00
2 Subscribers, 20.00

Delay in ms: 21.00
2 Subscribers, 21.00

Delay in ms: 31.00
4 Subscribers, 31.00

Delay in ms: 31.00
4 Subscribers, 31.00

Delay in ms: 23.00
4 Subscribers, 23.00

Delay in ms: 26.00
4 Subscribers, 26.00

Delay in ms: 28.00
4 Subscribers, 28.00

Delay in ms: 22.00
6 Subscribers, 22.00

Delay in ms: 28.00
6 Subscribers, 28.00

Delay in ms: 24.00
6 Subscribers, 24.00

Delay in ms: 27.00
6 Subscribers, 27.00

Delay in ms: 25.00
6 Subscribers, 25.00

Delay in ms: 25.00
8 Subscribers, 25.00

Delay in ms: 32.00
8 Subscribers, 32.00

Delay in ms: 29.00
8 Subscribers, 29.00

Delay in ms: 29.00
8 Subscribers, 29.00

Delay in ms: 30.00
8 Subscribers, 30.00
