Subscribers, Delay (ms)
4 Subscribers,38.16
4 Subscribers,52.31
4 Subscribers,52.62
4 Subscribers,38.73
4 Subscribers,45.72
4 Subscribers,49.88
4 Subscribers,66.39
4 Subscribers,38.07
4 Subscribers,46.19
4 Subscribers,59.00
4 Subscribers,63.35
4 Subscribers,44.77
4 Subscribers,66.03
4 Subscribers,81.85
4 Subscribers,85.25
4 Subscribers,51.14
4 Subscribers,61.36
4 Subscribers,62.26
4 Subscribers,68.97
4 Subscribers,36.86
4 Subscribers,37.40
4 Subscribers,60.54
4 Subscribers,61.90
4 Subscribers,37.64
4 Subscribers,38.15
4 Subscribers,49.49
4 Subscribers,52.84
4 Subscribers,44.80
4 Subscribers,58.56
4 Subscribers,64.21
4 Subscribers,66.16
4 Subscribers,57.19
4 Subscribers,57.66
4 Subscribers,59.63
4 Subscribers,70.21
4 Subscribers,39.05
4 Subscribers,53.78
4 Subscribers,65.96
4 Subscribers,66.73
4 Subscribers,45.19
4 Subscribers,51.63
4 Subscribers,52.13
4 Subscribers,52.74
4 Subscribers,38.81
4 Subscribers,40.33
4 Subscribers,45.50
4 Subscribers,57.87
4 Subscribers,39.56
4 Subscribers,39.66
4 Subscribers,43.17
4 Subscribers,50.65
4 Subscribers,41.07
4 Subscribers,51.33
4 Subscribers,54.44
4 Subscribers,55.52
4 Subscribers,38.97
4 Subscribers,39.19
4 Subscribers,42.81
4 Subscribers,50.73
4 Subscribers,46.85
4 Subscribers,50.93
4 Subscribers,53.51
4 Subscribers,66.68
4 Subscribers,44.50
4 Subscribers,50.29
4 Subscribers,51.29
4 Subscribers,51.13
4 Subscribers,42.76
4 Subscribers,50.22
4 Subscribers,51.50
4 Subscribers,51.42
4 Subscribers,39.91
4 Subscribers,58.70
4 Subscribers,59.46
4 Subscribers,63.22
4 Subscribers,45.83
4 Subscribers,53.03
4 Subscribers,54.83
4 Subscribers,56.10
4 Subscribers,63.95
4 Subscribers,70.53
4 Subscribers,72.93
4 Subscribers,76.72
4 Subscribers,39.76
4 Subscribers,54.47
4 Subscribers,53.85
4 Subscribers,71.05
4 Subscribers,52.85
4 Subscribers,56.16
4 Subscribers,63.01
4 Subscribers,63.76
4 Subscribers,55.81
4 Subscribers,57.76
4 Subscribers,58.37
4 Subscribers,70.35
4 Subscribers,41.46
4 Subscribers,42.92
4 Subscribers,45.04
4 Subscribers,53.50
4 Subscribers,38.74
4 Subscribers,41.42
4 Subscribers,43.57
4 Subscribers,50.01
4 Subscribers,66.89
4 Subscribers,69.05
4 Subscribers,70.61
4 Subscribers,71.99
4 Subscribers,35.39
4 Subscribers,36.57
4 Subscribers,50.67
4 Subscribers,57.29
4 Subscribers,61.78
4 Subscribers,68.53
4 Subscribers,70.19
4 Subscribers,80.75
4 Subscribers,45.64
4 Subscribers,52.14
4 Subscribers,63.66
4 Subscribers,64.02
4 Subscribers,45.66
4 Subscribers,48.04
4 Subscribers,61.82
4 Subscribers,62.63
4 Subscribers,39.61
4 Subscribers,41.04
4 Subscribers,45.50
4 Subscribers,49.71
4 Subscribers,39.97
4 Subscribers,51.63
4 Subscribers,60.69
4 Subscribers,67.01
4 Subscribers,38.24
4 Subscribers,41.63
4 Subscribers,43.93
4 Subscribers,48.21
4 Subscribers,38.39
4 Subscribers,38.38
4 Subscribers,53.27
4 Subscribers,60.23
4 Subscribers,39.65
4 Subscribers,40.18
4 Subscribers,53.60
4 Subscribers,58.99
4 Subscribers,50.96
4 Subscribers,50.62
4 Subscribers,59.49
4 Subscribers,67.63
4 Subscribers,41.36
4 Subscribers,41.44
4 Subscribers,57.08
4 Subscribers,63.84
4 Subscribers,41.19
4 Subscribers,50.46
4 Subscribers,59.71
4 Subscribers,64.09
4 Subscribers,45.10
